Neighborhood,Population,0-9 years,10-19 years,20-34 years,35-54 years,55-64 years,65 years and over,less than High School,High School or GED,Some College or Associate's Degree,Bachelor's Degree or Higher,Foreign Born,White,Black/ African American,Hispanic,Asian/PI,Other,Male (Labor Force 16+),Female (Labor Force 16+),Occupied Housing Units,Owner-occupied,Renter-occupied
Allston,19075,924,2907,11647,2422,566,609,1603,1503,1128,4716,6457,11253,973,2545,3397,907,5790,5480,7292,709,6583
Back Bay,16681,491,1380,7653,4243,1432,1482,337,717,1287,10051,2814,13870,614,730,1101,366,6662,5433,10053,3097,6956
Beacon Hill,9051,378,276,4288,2375,921,814,226,405,943,5910,1313,7904,288,295,442,122,3230,3170,5673,1773,3899
Brighton,50573,3051,2834,26560,9531,2657,5940,4180,5870,5252,18391,15559,36582,2137,3791,6214,1849,15722,15670,23213,5271,17942
Charlestown,15195,1661,1413,5043,4217,1218,1643,1466,2341,1767,5820,2111,11946,539,1764,761,185,4119,4612,7350,3039,4311
Dorchester,118875,19249,19961,29798,31422,8509,9936,20297,21891,16152,12352,36279,28924,53329,16277,9896,10449,25389,26373,40589,13423,27166
Downtown,11438,603,1277,3325,3039,1040,2154,2789,1150,844,3450,4372,6089,432,451,4277,189,3926,2872,5183,1245,3938
East Boston,38413,5346,4750,10917,10225,2479,4696,10009,8265,3954,2591,16051,19078,1177,14990,1553,1615,10086,7715,14326,4029,10297
Fenway,30156,423,7141,17420,2904,748,1520,938,1094,1718,7410,6552,20876,1720,2269,4255,1036,9256,9721,11857,1376,10481
Hyde Park,32003,4610,4568,6458,9611,2621,4135,4105,6828,5736,4273,8376,13443,12716,4155,483,1206,7411,7894,11616,6619,4997
Jamaica Plain,35976,4182,4215,10932,11205,2362,3080,4568,4395,4668,11137,7862,17541,5373,10285,1565,1213,9511,10143,14160,5476,8684
Longwood,3908,244,1542,1772,220,57,73,201,140,85,228,494,2446,506,530,315,111,848,1298,658,35,623
Mattapan,24300,3952,3889,5429,6809,2207,2014,3478,4567,4212,2506,7670,1734,19037,1798,386,1344,5051,5877,8335,3401,4934
Mission Hill,14864,1119,1848,6383,2999,939,1576,1940,1616,1571,3453,4504,6732,2867,2474,2161,630,3930,3840,5893,722,5171
North End,8040,236,156,4404,1731,519,994,783,882,880,4092,937,7594,30,169,154,93,2916,3288,5011,1196,3815
Roslindale,27999,3562,3460,6449,8632,1988,3908,3523,5277,4393,6422,7092,17041,4287,4971,643,1057,7028,7512,10592,5429,5163
Roxbury,42515,7050,7254,9985,11387,3029,3811,7889,7954,5617,3213,8574,2244,26383,9979,370,3539,7705,8958,15440,3069,12371
South Boston Waterfront,1401,82,102,524,458,96,139,153,213,190,431,169,1234,22,36,75,34,508,383,707,301,406
South Boston,28537,3026,2737,8772,7840,2297,3865,3948,6836,4312,5719,3548,24082,719,2199,1086,451,7514,7632,13323,4441,8882
South End,26126,1804,1766,9481,8337,2247,2490,3778,2866,2960,10697,5201,13339,4771,3677,3565,774,9814,6330,13770,4097,9673
West End,4622,238,156,1693,1436,454,644,420,485,606,2386,920,3320,423,275,486,118,1290,1211,2404,729,1676
West Roxbury,28753,3531,2542,5757,8548,2584,5791,2713,5105,4717,8964,4929,24029,1718,1309,1090,607,7366,7439,12083,7749,4334
