Neighborhood,Population,0-9 years,10-19 years,20-34 years,35-59 years, 60 and over ,less than High School,High School or GED,Some College or Associate's Degree,Bachelor's Degree or Higher,Foreign Born,White,Black/ African American,Hispanic,Asian/PI,Other,Male (Labor Force 16+),Female (Labor Force 16+),Occupied Housing Units,Owner-occupied,Renter-occupied
Allston,19261,409,2690,13046,2307,809,571,773,1244,7844,1873,9839,1099,2586,4811,926,,,6526,796,5730
Back Bay ,17783,655,1494,7418,4893,3323,284,596,1130,11781,1390,13044,761,1715,1917,346,,,9829,3088,6741
Beacon Hill ,9648,615,287,4524,2540,1682,169,168,399,7467,659,8074,138,580,578,278,,,5427,1775,3652
Brighton,55297,3170,3555,29181,11485,7906,2050,2660,4677,5477,26836,,36019,2379,6689,8160,,,22698,5216,17482
Charlestown,19890,2978,1182,5603,6824,3303,1192,2062,1656,10159,1805,14692,1019,2198,1613,368,,,9162,4300,4862
Dorchester,126909,15104,16496,35771,38890,20648,15449,25697,19657,25209,24331,28244,55787,25288,12540,5050,,,44301,16005,28296
Downtown,18306,1122,2692,5942,4923,3627,1963,1345,1399,8015,3034,10172,730,1100,5701,603,,,7942,2138,5804
East Boston,47263,5319,4943,14689,16270,6042,9228,9725,5182,9812,6069,16011,1171,26707,2167,1207,,,16565,4601,11964
Fenway,33489,509,8686,18072,3981,2241,840,1308,1495,9559,2168,18856,1810,4022,7071,1730,,,11226,1120,10106
Hyde Park,38924,4140,4754,8221,13392,8417,3759,7550,8210,7721,7662,8719,18042,10242,763,1158,,,13147,7832,5315
Jamaica Plain,40867,4232,3063,13286,13387,6899,2490,3773,4675,20307,5086,22533,5825,9001,2004,1504,,,16423,7612,8811
Longwood,5351,8,2640,2575,65,63,17,35,36,443,205,3746,291,389,752,173,,,269,26,243
Mattapan,26659,3496,3647,5582,9031,4903,2632,6220,5539,3704,4987,1612,19821,3771,499,956,,,9173,3522,5651
Mission Hill ,17386,660,2249,8599,3163,2715,1662,1491,1819,4621,2109,7156,2662,3716,3419,433,,,6687,622,6065
North End ,8749,310,218,5208,1818,1195,185,523,646,5782,579,7692,29,614,287,127,,,5086,1367,3719
Roslindale,30021,3412,3122,6310,11224,5953,2027,4656,4746,10532,5136,15291,5805,7182,750,993,,,11482,6354,5128
Roxbury,54161,6557,7958,15059,15564,9023,7733,9902,8273,7680,8537,5937,27243,16637,1905,2439,,,19899,4326,15573
South Boston,36772,3165,1801,16937,10206,4663,2350,4239,3601,19541,2503,28008,2064,4065,2070,565,,,16730,6911,9819
South Boston Waterfront,4403,138,94,2038,1546,587,80,250,353,3214,209,3640,93,128,425,117,,,2628,746,1882
South End ,32571,2421,1904,11029,10922,6295,3094,2927,3029,17252,4155,18044,3669,4715,4974,1169,,,16819,6355,10464
West End ,6619,297,266,2504,2168,1384,333,466,515,4369,647,4436,463,838,706,176,,,3558,789,2769
West Roxbury,33526,4066,3148,6062,11182,9068,1650,4887,5013,13726,5293,22584,4094,3376,2500,972,,,13933,8905,5028
